what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142156268
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142157127
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142157481
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142157754
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142158934
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1557142159344
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1557142160725
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1557142160725
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1557142191163
error,log,,,"Internal Error",1557142191228
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1557142193183
error,log,,,"Internal Error",1557142193232
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1557142195059
error,log,,,"Internal Error",1557142195108
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1557142197113
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142213950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142214676
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1557142215963
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142218433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142220436
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.debug",1557142220444
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1557142222405
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1557142230289
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1557142243182
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1557142249962
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1557142250166
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1557142250217
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142250229
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142252907
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1557142254765
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1557142254765
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1557142267314
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1557142271639
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1557142271855
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1557142271959
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142272418
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142314267
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1557142332717
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142333775
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142401082
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142402464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142406658
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142422577
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142423539
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142423830
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142424491
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1557142426820
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1557142427033
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1557142427201
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142427715
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142476269
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1557142488428
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1557142489579
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1557142494477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142495548
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142516133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142516543
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142516924
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142530269
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142530749
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142531043
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142531484
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1557142532201
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1557142534435
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1557142538689
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1557142554898
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1557142558539
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1557142563425
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1557142566302
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1557142570651
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142572591
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142573267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142573605
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142573981
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1557142575675
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1557142577952
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1557142586786
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142590125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142591678
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1557142665269
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1557142667986
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142669450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142669870
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142670141
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142670543
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1557142671059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142679779
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142680463
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142680814
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557142681277
