what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556946383823
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1556946383835
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1556946384363
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1556946390720
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1556946391804
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556946429899
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556946434799
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556946436788
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556946455926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556946457492
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556946479517
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1556946490080
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1556946491203
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1556946497796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556946499246
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556946499789
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1556946502335
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1556946502664
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1556946502920
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1556946503304
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1556946509824
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1556946510216
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1556946510745
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1556946511065
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556946517547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556946522757
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1556946523757
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1556946526487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556946529644
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556946532831
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1556946542024
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1556946542205
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1556946544716
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1556946547238
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556946548798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556946552667
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1556946555956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556946569280
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556946570301
