what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557151087629
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557151141911
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1557151145718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557151179201
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557151254235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557151255051
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557151266822
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1557151464662
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1557151468408
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557151470202
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557151499922
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557151506003
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557151506741
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557151508059
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557151509060
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557151509910
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557151510420
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557151558446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557151559148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557151559731
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557151574947
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557151576245
