what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1557118171263
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1557118171264
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1557118171272
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1557118171273
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1557118171284
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1557118171285
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1557118171285
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1557118171306
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1557118171313
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1557118171314
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1557118171315
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1557118171341
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1557118171353
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1557118171354
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1557118171355
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1557118171356
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1557118171359
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1557118171360
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1557118171361
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1557118171377
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1557118171377
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1557118171390
os,sysinfo,,,"win32",1557118171393
arch,sysinfo,,,"x86",1557118171393
ws,sysinfo,,,"win32",1557118171393
locale,sysinfo,,,"en_US",1557118171393
processors,sysinfo,,,"2",1557118171393
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1557118171393
java.runtime.version,sysinfo,,,"1.7.0_80-b15",1557118171393
java.specification.name,sysinfo,,,"Java Platform API Specification",1557118171393
java.specification.vendor,sysinfo,,,"Oracle Corporation",1557118171393
java.specification.version,sysinfo,,,"1.7",1557118171393
java.vendor,sysinfo,,,"Oracle Corporation",1557118171393
java.version,sysinfo,,,"1.7.0_80",1557118171393
java.vm.info,sysinfo,,,"mixed mode, sharing",1557118171393
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1557118171393
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1557118171393
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1557118171393
java.vm.specification.version,sysinfo,,,"1.7",1557118171393
java.vm.vendor,sysinfo,,,"Oracle Corporation",1557118171393
