what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1557139086737
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1557139105162
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1557139112173
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1557139112853
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1557139117280
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1557139118438
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557139131059
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557139131523
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557139132021
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557139132382
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557139133721
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557139134136
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557139136626
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557139137163
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557139137654
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557139138016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557139139251
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557139139608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557139140257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557139140883
