what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557154151236
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557154163439
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557154164588
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557154187286
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1557154191755
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1557154192915
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1557154195675
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1557154200612
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557154213934
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557154243248
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1557154243898
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1557154247196
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1557154252666
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557154273454
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557154274077
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557154274829
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557154275440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557154275838
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557154276301
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557154277085
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557154278110
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1557154298956
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1557154303355
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1557154303357
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1557154309036
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1557154375955
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557154427149
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557154451966
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557154453645
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557154468545
