what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557208411756
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557208412045
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557208457439
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1557208461614
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1557208462739
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1557208462790
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1557208463066
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1557208463584
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1557208465583
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1557208473256
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1557208480377
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1557208482661
error,log,,,"Internal Error",1557208484400
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1557208485520
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557208486267
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557208500351
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557208501727
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557208512117
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1557208514927
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1557208519995
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1557208520188
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557208520765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557208524801
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557208531748
