what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557124546536
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557124547606
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557124547871
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557124548262
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557124548535
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557124560899
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557124561628
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557124562124
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557124562449
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557124563291
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1557124564132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557124577562
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557124629429
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1557124643947
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1557124645066
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1557124646161
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1557124648378
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557124649256
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557124654609
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1557124655923
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1557124657027
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1557124660482
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1557124662171
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1557124671897
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1557124672121
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1557124672545
